Relative_Time_s,GPU_Utilization_%
0.0,3
0.277,2
0.552,2
0.827,7
1.105,35
1.387,13
1.663,4
1.941,15
2.219,28
2.495,56
2.771,19
3.045,41
3.322,18
3.597,30
3.872,56
4.149,36
4.423,46
4.698,23
4.971,39
5.245,42
5.522,42
5.8,12
6.075,15
6.349,19
6.624,16
6.898,24
7.172,29
7.447,44
7.722,22
7.998,0
8.275,15
8.549,4
8.826,11
9.103,37
9.378,54
9.653,32
9.931,21
10.206,22
10.48,51
10.755,27
11.029,45
11.304,18
11.579,44
11.856,41
12.129,49
12.405,12
12.679,15
12.956,15
13.231,19
13.509,16
13.784,27
14.058,26
14.334,59
14.614,25
14.888,7
15.163,8
15.439,10
15.717,18
15.991,35
16.269,16
16.542,34
16.82,9
17.098,20
17.374,51
17.65,19
17.926,48
18.2,17
18.475,33
18.752,40
19.033,28
19.307,15
19.581,15
19.856,8
20.134,18
20.409,20
20.685,21
20.966,20
21.241,26
21.518,28
21.793,1
22.067,0
22.346,14
22.621,19
22.895,60
23.169,22
23.443,34
23.718,8
23.994,17
24.27,26
24.545,30
24.82,42
25.095,46
25.374,28
25.649,49
25.925,36
26.201,12
26.478,15
26.752,16
27.027,19
27.303,28
27.583,26
27.856,52
28.13,16
28.404,27
28.683,15
28.957,2
29.231,21
29.509,39
29.784,46
30.061,34
30.338,17
30.621,14
30.895,45
31.171,34
31.446,18
31.722,33
31.996,41
32.27,39
32.544,46
32.819,17
33.094,14
33.372,19
33.647,19
33.921,24
34.194,25
34.469,38
34.744,34
35.023,30
35.3,16
35.575,1
35.855,15
36.138,28
36.414,55
36.688,20
36.964,40
37.238,23
37.513,31
37.787,50
38.064,35
38.338,48
38.613,15
38.887,29
39.16,39
39.433,48
39.708,15
39.982,15
40.259,10
40.533,20
40.807,20
41.081,26
41.357,31
41.632,32
41.906,3
42.185,15
42.463,1
42.74,13
43.016,25
43.292,36
43.568,20
43.842,42
44.119,13
44.396,37
44.674,39
44.949,27
45.227,41
45.505,36
45.78,42
46.054,46
46.361,14
46.638,14
46.913,18
47.188,19
47.463,16
47.776,26
48.054,19
48.407,37
48.682,26
49.013,12
49.292,4
49.581,15
49.858,11
50.133,56
50.408,41
50.682,17
50.957,19
51.235,11
51.512,21
51.789,15
52.067,30
52.347,22
52.622,32
52.895,42
53.169,37
53.449,38
53.723,15
53.997,15
54.275,19
54.551,8
54.828,25
55.105,28
55.379,27
55.658,43
55.933,30
56.207,1
56.482,16
56.76,14
57.037,11
57.317,26
57.592,38
57.866,13
58.14,21
58.42,13
58.698,32
58.973,35
59.251,23
59.529,41
59.803,47
60.079,38
60.356,43
60.631,18
60.904,16
61.178,19
61.453,19
61.731,13
62.008,28
62.282,27
62.562,35
62.836,33
63.11,3
63.385,1
63.66,15
63.942,11
64.216,55
64.494,37
64.771,39
65.05,21
65.329,11
65.606,51
65.882,34
66.159,17
66.436,25
66.712,49
66.989,39
67.263,41
67.539,26
67.814,15
68.093,18
68.367,9
68.641,20
68.916,28
69.19,25
69.465,46
69.739,12
70.014,1
70.287,16
70.561,4
70.835,17
71.109,24
71.384,19
71.66,20
71.936,36
72.21,17
72.485,45
72.76,25
73.034,25
73.31,35
73.586,46
73.859,38
74.134,40
74.408,18
74.683,15
74.958,15
75.232,20
75.507,16
75.782,28
76.058,20
76.333,58
76.609,20
76.883,3
77.165,13
77.44,12
77.718,18
78.0,44
78.275,19
78.553,34
78.831,14
79.105,18
79.383,47
79.659,21
79.933,35
80.207,32
80.483,42
80.758,37
81.034,44
81.308,20
81.585,14
81.863,19
82.138,19
82.413,24
82.688,29
82.963,22
83.237,16
83.513,25
83.794,9
84.069,13
